               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11726,             0.02392,            0.031122,           0.0032773,             0.55441,           0.0041009,          0.00094721,             0.10425,            0.016139,            0.031754,              0.0883,              0.0013,              0.0013
                   1,            0.095786,            0.027185,            0.029429,             0.12308,             0.13382,            0.070081,            0.015462,            0.083896,             0.01855,            0.030383,            0.075647,           0.0026465,           0.0026465
                   2,            0.079682,            0.032596,            0.027037,              0.1769,             0.39755,             0.13709,            0.034464,            0.074902,            0.016631,            0.028873,            0.062938,           0.0039376,           0.0039376
                   3,            0.068451,            0.027834,            0.025669,             0.13386,             0.43648,             0.12484,            0.038024,            0.069707,            0.018693,            0.028015,            0.050173,           0.0051733,           0.0051733
                   4,            0.064986,            0.025249,            0.024437,             0.15565,             0.61176,             0.18781,            0.064949,            0.069068,            0.017596,            0.029724,            0.037354,           0.0063535,           0.0063535
                   5,            0.065692,            0.025393,            0.024775,             0.14407,             0.50049,             0.14736,            0.039177,            0.080438,            0.014723,            0.026514,            0.024478,           0.0074783,           0.0074783
                   6,            0.065458,            0.025714,            0.022859,             0.26155,             0.48382,             0.28447,             0.08356,            0.066134,            0.013351,            0.025034,            0.011548,           0.0085476,           0.0085476
                   7,            0.061867,            0.024088,            0.022181,             0.38604,               0.525,             0.42456,             0.16494,            0.053161,            0.012687,            0.023434,            0.008614,            0.008614,            0.008614
                   8,              0.0561,            0.023651,            0.020669,             0.35544,             0.50196,             0.35349,             0.14637,            0.061671,            0.011756,            0.023734,            0.008614,            0.008614,            0.008614
                   9,            0.054785,            0.023222,              0.0195,             0.37162,             0.49363,             0.39995,              0.1646,             0.05901,            0.012465,             0.02202,            0.008416,            0.008416,            0.008416
                  10,            0.051657,            0.020204,            0.017082,              0.3868,             0.63021,             0.42054,             0.13962,            0.051308,            0.011975,            0.021748,            0.008218,            0.008218,            0.008218
                  11,            0.051072,            0.019958,            0.015808,             0.41963,             0.66983,             0.46179,             0.17844,            0.048047,            0.011204,            0.022537,             0.00802,             0.00802,             0.00802
                  12,            0.046987,            0.020101,            0.015707,             0.40334,              0.5799,             0.45007,             0.22669,            0.046663,            0.010981,            0.026352,            0.007822,            0.007822,            0.007822
                  13,            0.046853,            0.021574,            0.013809,             0.38379,             0.46863,             0.38743,              0.1711,            0.050514,            0.010914,            0.023044,            0.007624,            0.007624,            0.007624
                  14,            0.045558,            0.018766,            0.012548,             0.67055,             0.60016,             0.62154,             0.31356,            0.040302,            0.010358,            0.023213,            0.007426,            0.007426,            0.007426
                  15,            0.043001,            0.018924,            0.011494,             0.82009,             0.52359,             0.61308,              0.2698,            0.044888,            0.010279,            0.022495,            0.007228,            0.007228,            0.007228
                  16,            0.042282,            0.018863,            0.011517,             0.64782,             0.57488,             0.57131,             0.31915,            0.039047,            0.010165,            0.020042,             0.00703,             0.00703,             0.00703
                  17,            0.039399,            0.018741,            0.010005,             0.55888,             0.67157,               0.602,             0.33005,            0.037784,           0.0099128,            0.022116,            0.006832,            0.006832,            0.006832
                  18,            0.038794,             0.01749,           0.0097725,             0.62292,             0.65877,             0.63965,             0.34013,             0.03838,             0.01026,            0.019264,            0.006634,            0.006634,            0.006634
                  19,            0.038321,            0.017751,           0.0097845,             0.61571,             0.68096,             0.65495,             0.37256,            0.037446,            0.010385,            0.015761,            0.006436,            0.006436,            0.006436
                  20,            0.036801,            0.016759,            0.010157,             0.65789,               0.633,             0.67746,             0.37798,            0.036758,            0.010605,            0.016691,            0.006238,            0.006238,            0.006238
                  21,            0.035603,            0.017518,           0.0088969,             0.70006,             0.57098,             0.65146,             0.33903,            0.036727,            0.010296,            0.015295,             0.00604,             0.00604,             0.00604
                  22,            0.035331,            0.016389,           0.0081848,             0.66448,             0.70558,             0.69896,             0.39965,            0.033884,             0.01005,            0.016016,            0.005842,            0.005842,            0.005842
                  23,            0.035281,            0.016093,           0.0075928,             0.59108,             0.71488,             0.64841,             0.37757,            0.032132,            0.010284,            0.018411,            0.005644,            0.005644,            0.005644
                  24,             0.03506,            0.016205,           0.0081845,             0.52206,             0.68265,             0.59614,             0.34626,            0.033564,            0.010227,            0.022568,            0.005446,            0.005446,            0.005446
                  25,            0.033445,            0.017584,           0.0057265,             0.70211,             0.52059,             0.59607,             0.35331,            0.035257,            0.010364,            0.025465,            0.005248,            0.005248,            0.005248
                  26,            0.033178,            0.016104,           0.0059368,             0.65493,             0.63824,             0.65692,             0.40458,            0.031858,            0.010253,            0.023384,             0.00505,             0.00505,             0.00505
                  27,             0.03151,            0.016361,           0.0072921,             0.67815,             0.65272,             0.63508,             0.40099,            0.031272,           0.0099616,            0.028241,            0.004852,            0.004852,            0.004852
                  28,            0.031725,            0.015541,           0.0074663,             0.68015,             0.60214,              0.6217,             0.37595,            0.033376,            0.009991,            0.027306,            0.004654,            0.004654,            0.004654
                  29,            0.030995,            0.016375,           0.0064622,               0.638,             0.64185,             0.60885,             0.38722,            0.033973,           0.0098528,            0.025183,            0.004456,            0.004456,            0.004456
                  30,            0.031125,            0.017354,           0.0064585,             0.73333,                 0.6,             0.62818,             0.39952,            0.031775,           0.0095599,            0.025459,            0.004258,            0.004258,            0.004258
                  31,            0.030076,            0.015725,           0.0050008,             0.63005,             0.64874,              0.6296,             0.40207,            0.032774,           0.0099491,            0.025693,             0.00406,             0.00406,             0.00406
                  32,            0.029358,            0.015558,           0.0058367,             0.56168,             0.67794,             0.63359,             0.42579,            0.030616,            0.010089,            0.027121,            0.003862,            0.003862,            0.003862
                  33,            0.029567,            0.014911,           0.0064848,             0.59596,             0.69265,             0.64339,             0.43308,            0.029569,            0.009825,            0.028165,            0.003664,            0.003664,            0.003664
                  34,            0.028193,            0.015146,           0.0049746,             0.59962,             0.68824,             0.63348,             0.41172,            0.032266,            0.010062,            0.025121,            0.003466,            0.003466,            0.003466
                  35,            0.027515,            0.015123,           0.0049942,             0.66921,             0.64937,             0.65472,             0.41142,            0.031127,           0.0096884,            0.023398,            0.003268,            0.003268,            0.003268
                  36,            0.028248,            0.014872,           0.0040951,             0.69133,             0.63186,             0.66647,             0.42104,            0.030202,           0.0097118,            0.022688,             0.00307,             0.00307,             0.00307
                  37,            0.027731,            0.014469,           0.0048472,             0.68842,             0.68924,             0.66022,             0.44227,            0.029138,           0.0096421,            0.022649,            0.002872,            0.002872,            0.002872
                  38,            0.026742,            0.014065,           0.0051228,             0.60354,              0.7041,             0.66244,             0.43551,            0.029885,           0.0097625,            0.022931,            0.002674,            0.002674,            0.002674
                  39,            0.026758,            0.016425,           0.0052271,             0.73793,             0.58007,             0.63423,             0.42797,             0.02893,           0.0096308,            0.026498,            0.002476,            0.002476,            0.002476
                  40,            0.026201,              0.0147,           0.0041047,             0.64899,             0.61912,              0.6423,             0.41073,            0.030106,           0.0096626,             0.02851,            0.002278,            0.002278,            0.002278
                  41,            0.025269,            0.014855,           0.0043246,             0.62111,             0.61564,             0.64497,             0.44198,             0.02863,           0.0096497,            0.028658,             0.00208,             0.00208,             0.00208
                  42,            0.025085,             0.01417,           0.0035672,             0.68284,             0.60441,             0.66087,             0.44976,             0.02866,            0.009497,             0.02807,            0.001882,            0.001882,            0.001882
                  43,            0.025162,            0.014245,            0.004717,             0.60903,             0.70827,             0.66494,              0.4492,            0.028805,           0.0095997,            0.026524,            0.001684,            0.001684,            0.001684
                  44,             0.02425,            0.014337,           0.0035071,             0.64569,             0.65113,             0.67396,             0.43846,            0.028797,           0.0096852,            0.027037,            0.001486,            0.001486,            0.001486
                  45,            0.024439,            0.014364,           0.0038946,             0.59712,             0.74265,             0.66678,               0.432,            0.028656,           0.0098048,            0.026643,            0.001288,            0.001288,            0.001288
                  46,             0.02337,            0.014216,           0.0030872,              0.5712,             0.73275,             0.65993,              0.4454,            0.028603,           0.0097017,            0.026044,             0.00109,             0.00109,             0.00109
                  47,            0.023855,            0.014372,           0.0041283,             0.60486,             0.65686,             0.64703,             0.43977,            0.028593,           0.0097311,            0.026422,            0.000892,            0.000892,            0.000892
                  48,            0.023845,            0.015036,           0.0047802,             0.57584,             0.68242,             0.63855,               0.434,            0.028564,           0.0097017,            0.027377,            0.000694,            0.000694,            0.000694
                  49,            0.023607,            0.013366,           0.0030215,             0.60367,             0.63145,             0.63574,             0.42972,            0.028702,           0.0096815,            0.028728,            0.000496,            0.000496,            0.000496
